"participant","age","sex","Trial","targetWord","formantZ","FormantType","location"
"PP11",31,"M",55,"WET",0.981787611961422,"F1","lab"
"PP11",31,"M",56,"BED",0.321771785455092,"F1","lab"
"PP11",31,"M",57,"NET",-1.53023334940613,"F1","lab"
"PP11",31,"M",58,"PET",0.303425187012858,"F1","lab"
"PP11",31,"M",59,"VET",0.938928660883628,"F1","lab"
"PP11",31,"M",60,"ZET",NA,"F1","lab"
"PP11",31,"M",61,"ZET",-0.789346986843365,"F1","lab"
"PP11",31,"M",62,"VET",-1.5785190167556,"F1","lab"
"PP11",31,"M",63,"WET",0.505396149255431,"F1","lab"
"PP11",31,"M",64,"NET",-2.35889638507291,"F1","lab"
"PP11",31,"M",65,"BED",0.423076150887446,"F1","lab"
"PP11",31,"M",66,"PET",0.96465526834327,"F1","lab"
"PP11",31,"M",67,"WET",0.278048568017004,"F1","lab"
"PP11",31,"M",68,"ZET",-0.661490289957182,"F1","lab"
"PP11",31,"M",69,"BED",-2.64373666096704,"F1","lab"
"PP11",31,"M",70,"NET",NA,"F1","lab"
"PP11",31,"M",71,"VET",-0.394760977444504,"F1","lab"
"PP11",31,"M",72,"PET",-1.43133273044306,"F1","lab"
"PP11",31,"M",73,"BED",-2.82771458222553,"F1","lab"
"PP11",31,"M",74,"PET",0.487720461965671,"F1","lab"
"PP11",31,"M",75,"NET",-3.31618792146253,"F1","lab"
"PP11",31,"M",76,"ZET",-1.24782613619065,"F1","lab"
"PP11",31,"M",77,"VET",-0.0762767007084692,"F1","lab"
"PP11",31,"M",78,"WET",0.290065967634018,"F1","lab"
"PP11",31,"M",79,"VET",-0.119030065685069,"F1","lab"
"PP11",31,"M",80,"PET",1.34642963723343,"F1","lab"
"PP11",31,"M",81,"ZET",-1.15378587631033,"F1","lab"
"PP11",31,"M",82,"WET",-0.576099128611419,"F1","lab"
"PP11",31,"M",83,"BED",-0.282586199072875,"F1","lab"
"PP11",31,"M",84,"NET",-4.17118744616007,"F1","lab"
"PP11",31,"M",85,"NET",-2.31912950437642,"F1","lab"
"PP11",31,"M",86,"PET",0.448950448033777,"F1","lab"
"PP11",31,"M",87,"VET",-3.0711596050067,"F1","lab"
"PP11",31,"M",88,"ZET",-0.980548740585759,"F1","lab"
"PP11",31,"M",89,"WET",-1.56874018796396,"F1","lab"
"PP11",31,"M",90,"BED",-3.90921640964015,"F1","lab"
"PP11",31,"M",91,"NET",-2.03375890277324,"F1","lab"
"PP11",31,"M",92,"WET",-0.744172637307276,"F1","lab"
"PP11",31,"M",93,"PET",-0.460585629703921,"F1","lab"
"PP11",31,"M",94,"BED",-2.23413774455225,"F1","lab"
"PP11",31,"M",95,"VET",-2.2523852251398,"F1","lab"
"PP11",31,"M",96,"ZET",-1.8222614202469,"F1","lab"
"PP12",42,"F",97,"ZET",0.20125324494152,"F1","lab"
"PP12",42,"F",98,"WET",0.534021387664296,"F1","lab"
"PP12",42,"F",99,"PET",0.913737991717133,"F1","lab"
"PP12",42,"F",100,"NET",NA,"F1","lab"
"PP12",42,"F",101,"BED",0.6966571725744,"F1","lab"
